image_name,lang,domain,image_rating,ocr_pred_rating
mg_hi_000071_0_5_paragraph.png,hi,mg,1,0
tb_hi_000099_0_1_paragraph.png,hi,tb,-1,1
tb_hi_000150_0_6_chapter-title.png,hi,tb,-1,1
tb_hi_000195_0_3_paragraph.png,hi,tb,-1,2
tb_hi_000299_0_9_page-number.png,hi,tb,-1,1
np_hi_000003_1_5_dateline.png,hi,np,-1,2
np_hi_000024_1_1_page-number.png,hi,np,-1,2
np_hi_000072_1_15_figure-caption.png,hi,np,-1,2
np_hi_000102_1_68_page-number.png,hi,np,-1,2
np_hi_000123_1_21_headline.png,hi,np,-1,2
np_hi_000152_1_13_website-link.png,hi,np,-1,2
np_hi_000159_1_126_paragraph.png,hi,np,-1,1
np_hi_000190_1_39_jumpline.png,hi,np,-1,1
np_hi_000338_1_0_page-number.png,hi,np,-1,1
np_hi_000339_1_10_contact-info.png,hi,np,0,-1
np_hi_000356_1_5_jumpline.png,hi,np,-1,1
np_hi_000362_1_74_contact-info.png,hi,np,-1,1
rp_hi_000077_0_2_folio.png,hi,rp,-1,1
rp_hi_000082_0_2_folio.png,hi,rp,-1,1
rp_hi_000088_0_5_ordered-list.png,hi,rp,-1,2
rp_hi_000095_0_2_paragraph.png,hi,rp,-1,0
rp_hi_000148_0_6_folio.png,hi,rp,-1,1
rp_hi_000178_0_3_folio.png,hi,rp,-1,1
br_hi_000020_0_5_section-title.png,hi,br,-1,1
br_hi_000025_0_1_folio.png,hi,br,-1,1
qp_bn_000065_0_0_page-number.png,bn,qp,-1,0
mg_bn_000030_0_4_paragraph.png,bn,mg,-1,2
mg_bn_000055_0_11_paragraph.png,bn,mg,-1,2
mg_bn_000056_0_5_folio.png,bn,mg,-1,0
mg_bn_000153_0_0_page-number.png,bn,mg,-1,2
tb_bn_000006_0_2_author.png,bn,tb,-1,1
tb_bn_000043_0_3_page-number.png,bn,tb,-1,0
tb_bn_000070_0_4_paragraph.png,bn,tb,-1,1
tb_bn_000129_0_2_headline.png,bn,tb,-1,1
tb_bn_000262_0_2_page-number.png,bn,tb,-1,1
tb_bn_000297_0_3_paragraph.png,bn,tb,-1,1
tb_bn_000363_0_3_paragraph.png,bn,tb,-1,1
tb_bn_000434_0_3_page-number.png,bn,tb,-1,1
tb_bn_000049_0_5_paragraph.png,bn,tb,-1,2
nt_hi_000093_0_3_footnote.png,hi,nt,-1,2
nt_hi_000119_0_9_website-link.png,hi,nt,-1,1
nt_hi_000159_0_6_section-title.png,hi,nt,-1,1
nt_hi_000166_0_4_folio.png,hi,nt,-1,1
qp_hi_000079_0_2_page-number.png,hi,qp,-1,0
tb_pa_000030_0_5_ordered-list.png,pa,tb,-1,2
tb_pa_000071_0_4_figure-caption.png,pa,tb,-1,1
tb_pa_000126_0_1_paragraph.png,pa,tb,-1,2
tb_pa_000148_0_6_section-title.png,pa,tb,-1,1
tb_pa_000560_0_7_page-number.png,pa,tb,-1,0
tb_pa_000595_0_5_page-number.png,pa,tb,-1,2
np_ta_000004_0_12_paragraph.png,ta,np,-1,0
np_ta_000012_0_18_section-title.png,ta,np,-1,1
np_ta_000018_0_24_section-title.png,ta,np,-1,1
np_ta_000094_0_19_paragraph.png,ta,np,-1,2
np_ta_000140_0_2_dateline.png,ta,np,-1,2
np_ta_000220_0_8_paragraph.png,ta,np,-1,2
np_ta_000269_0_6_headline.png,ta,np,-1,2
np_ta_000298_0_23_paragraph.png,ta,np,-1,2
np_ta_000351_1_16_paragraph.png,ta,np,-1,2
